x,y,yaw
1.827176338124803623e+00,1.006107141835081986e+00,0.000000000000000000e+00
1.818772331354640004e+00,1.011526758413162863e+00,0.000000000000000000e+00
1.811731087005188146e+00,1.018627588332571943e+00,0.000000000000000000e+00
1.803967873067381378e+00,1.024930993953398595e+00,0.000000000000000000e+00
1.796269280099809906e+00,1.031313134924027874e+00,0.000000000000000000e+00
1.789973580167287581e+00,1.039082452377323218e+00,0.000000000000000000e+00
1.782095849020126410e+00,1.045242120208393910e+00,0.000000000000000000e+00
1.774886223937133467e+00,1.052171899106235653e+00,0.000000000000000000e+00
1.768731896682115279e+00,1.060053826420295220e+00,0.000000000000000000e+00
1.760822350960469906e+00,1.066172600697592454e+00,0.000000000000000000e+00
1.754038369788861518e+00,1.073519554879078353e+00,0.000000000000000000e+00
1.747214334296859350e+00,1.080829277616083939e+00,0.000000000000000000e+00
1.739247796999339402e+00,1.086873589004420548e+00,0.000000000000000000e+00
1.732684152736868599e+00,1.094417991911961874e+00,0.000000000000000000e+00
1.725375726996904335e+00,1.101243400694948971e+00,0.000000000000000000e+00
1.717600458616007630e+00,1.107532005290715826e+00,0.000000000000000000e+00
1.711262568132670525e+00,1.115266990469387931e+00,0.000000000000000000e+00
1.703410776926335801e+00,1.121459769871984147e+00,0.000000000000000000e+00
1.695769785886187764e+00,1.127910727979747119e+00,0.000000000000000000e+00
1.689550532485159851e+00,1.135741538351589863e+00,0.000000000000000000e+00
1.688234690839766516e+00,1.145654563032360240e+00,0.000000000000000000e+00
1.686317042567199609e+00,1.155469015937990118e+00,0.000000000000000000e+00
1.686579493733208368e+00,1.165465506193066769e+00,0.000000000000000000e+00
1.685980052218286618e+00,1.175447500598858053e+00,0.000000000000000000e+00
1.678405131733302413e+00,1.181975973353325937e+00,0.000000000000000000e+00
1.672151622351594868e+00,1.189779470493357305e+00,0.000000000000000000e+00
1.667438258809485818e+00,1.198598897786462114e+00,0.000000000000000000e+00
1.666882762606081814e+00,1.208583486186336042e+00,0.000000000000000000e+00
1.666187495897989423e+00,1.218559377076638750e+00,0.000000000000000000e+00
1.665533046449726884e+00,1.228537861961024102e+00,0.000000000000000000e+00
1.663941859961855174e+00,1.238410450851682665e+00,0.000000000000000000e+00
1.660702953173898822e+00,1.247871357622636790e+00,0.000000000000000000e+00
1.657126216803649799e+00,1.257209888908044970e+00,0.000000000000000000e+00
1.651107540180365207e+00,1.265195881161184754e+00,0.000000000000000000e+00
1.646617336423307210e+00,1.274131122660685289e+00,0.000000000000000000e+00
1.646175747077708751e+00,1.284121356812386150e+00,0.000000000000000000e+00
1.645656643085405380e+00,1.294107776266906651e+00,0.000000000000000000e+00
1.645423946557403427e+00,1.304105182049306588e+00,0.000000000000000000e+00
1.645157070342665451e+00,1.314101519716496025e+00,0.000000000000000000e+00
1.644973354526459319e+00,1.324099841026219249e+00,0.000000000000000000e+00
1.644769115639422852e+00,1.334097857160168044e+00,0.000000000000000000e+00
1.644606762127426736e+00,1.344096483645665696e+00,0.000000000000000000e+00
1.644426098068964892e+00,1.354094804955388920e+00,0.000000000000000000e+00
1.644265880787389777e+00,1.364093584028773787e+00,0.000000000000000000e+00
1.644063930718661526e+00,1.374091447574835367e+00,0.000000000000000000e+00
1.643802318786032446e+00,1.384088090417799233e+00,0.000000000000000000e+00
1.643321590647363495e+00,1.394076493514853521e+00,0.000000000000000000e+00
1.642377834564942463e+00,1.404031937628269500e+00,0.000000000000000000e+00
1.640518169689517025e+00,1.413857376861778814e+00,0.000000000000000000e+00
1.638432827328901498e+00,1.423637650080672667e+00,0.000000000000000000e+00
1.636329937361256315e+00,1.433413956014498947e+00,0.000000000000000000e+00
1.634221172759953378e+00,1.443189193833114725e+00,0.000000000000000000e+00
1.632096157548662108e+00,1.452960769542437358e+00,0.000000000000000000e+00
1.627677593804651268e+00,1.461931564019658847e+00,0.000000000000000000e+00
1.624671154662866046e+00,1.471468917322107384e+00,0.000000000000000000e+00
1.624000836074333209e+00,1.481446486679169450e+00,0.000000000000000000e+00
1.623085690220764876e+00,1.491404524786668073e+00,0.000000000000000000e+00
1.621773892154382724e+00,1.501318007231100093e+00,0.000000000000000000e+00
1.619657269276888245e+00,1.511091566582956514e+00,0.000000000000000000e+00
1.617555752600227992e+00,1.520868177692557222e+00,0.000000000000000000e+00
1.615448361289909984e+00,1.530643568099060214e+00,0.000000000000000000e+00
1.613348065316347446e+00,1.540420636972322566e+00,0.000000000000000000e+00
1.611237927424059579e+00,1.550195417027276701e+00,0.000000000000000000e+00
1.609119092022200492e+00,1.559968366027584263e+00,0.000000000000000000e+00
1.606997891508089582e+00,1.569740857264230183e+00,0.000000000000000000e+00
1.604865857253986450e+00,1.579510907094680672e+00,0.000000000000000000e+00
1.602729169069323278e+00,1.589279888809920660e+00,0.000000000000000000e+00
1.600580579029457384e+00,1.599046429118965218e+00,0.000000000000000000e+00
1.598432294165365919e+00,1.608812816840122562e+00,0.000000000000000000e+00
1.596280347191981308e+00,1.618578594209731047e+00,0.000000000000000000e+00
1.594117185008886439e+00,1.628341777585256889e+00,0.000000000000000000e+00
1.591959134520013253e+00,1.638106181663880445e+00,0.000000000000000000e+00
1.589809476364936858e+00,1.647872416797150574e+00,0.000000000000000000e+00
1.587658444918875533e+00,1.657638346754646275e+00,0.000000000000000000e+00
1.585509091939573567e+00,1.667404581887916404e+00,0.000000000000000000e+00
1.583353940620557454e+00,1.677169596318088818e+00,0.000000000000000000e+00
1.581196271601402303e+00,1.686934000396712374e+00,0.000000000000000000e+00
1.579034024945630721e+00,1.696697488948012644e+00,0.000000000000000000e+00
1.576875821868870320e+00,1.706461893026636201e+00,0.000000000000000000e+00
1.574716245501124989e+00,1.716225839341598114e+00,0.000000000000000000e+00
1.572558805363800660e+00,1.725990396008108885e+00,0.000000000000000000e+00
1.570398160880844829e+00,1.735754189735183584e+00,0.000000000000000000e+00
1.568237592691832605e+00,1.745517983462258282e+00,0.000000000000000000e+00
1.566072675748034770e+00,1.755280861662009695e+00,0.000000000000000000e+00
1.563900739761425074e+00,1.765042061395001749e+00,0.000000000000000000e+00
1.561727583071717662e+00,1.774803108540106589e+00,0.000000000000000000e+00
1.559553739736517786e+00,1.784564003097324214e+00,0.000000000000000000e+00
1.557380964516528410e+00,1.794325050242429054e+00,0.000000000000000000e+00
1.555211241054283322e+00,1.804086860326969965e+00,0.000000000000000000e+00
1.553041288710207413e+00,1.813848517823623663e+00,0.000000000000000000e+00
1.550873243714721683e+00,1.823610785671826218e+00,0.000000000000000000e+00
1.548703596546420203e+00,1.833372443168479915e+00,0.000000000000000000e+00
1.546534330847836758e+00,1.843134405840908041e+00,0.000000000000000000e+00
1.544361937097565418e+00,1.852895605573900095e+00,0.000000000000000000e+00
1.542188627819970792e+00,1.862656500131117721e+00,0.000000000000000000e+00
1.540010740905759734e+00,1.872416479161012060e+00,0.000000000000000000e+00
1.537835447985631321e+00,1.882177068542455256e+00,0.000000000000000000e+00
1.535659392126066836e+00,1.891937352748124024e+00,0.000000000000000000e+00
1.533482268151291850e+00,1.901697484365905577e+00,0.000000000000000000e+00
1.531305067882573256e+00,1.911457615983687131e+00,0.000000000000000000e+00
1.529106886779362684e+00,1.921213017376965038e+00,0.000000000000000000e+00
1.526920378649524013e+00,1.930971165352212804e+00,0.000000000000000000e+00
1.524738677038132595e+00,1.940730228854783856e+00,0.000000000000000000e+00
1.522562087120962859e+00,1.950490513060452624e+00,0.000000000000000000e+00
1.520240462416995841e+00,1.960217227930934225e+00,0.000000000000000000e+00
